action_name,standard_type,frame_index,sequence,Nose_x,Right Eye_x,Left Eye_x,Right Ear_x,Left Ear_x,Right Shoulder_x,Left Shoulder_x,Right Elbow_x,Left Elbow_x,Right Wrist_x,Left Wrist_x,Right Hip_x,Left Hip_x,Right Knee_x,Left Knee_x,Right Ankle_x,Left Ankle_x,Nose_y,Right Eye_y,Left Eye_y,Right Ear_y,Left Ear_y,Right Shoulder_y,Left Shoulder_y,Right Elbow_y,Left Elbow_y,Right Wrist_y,Left Wrist_y,Right Hip_y,Left Hip_y,Right Knee_y,Left Knee_y,Right Ankle_y,Left Ankle_y
Dumbbell Flat Bench Press,nonstandard01,49,3,0.527265358,0.595657438,0.490394842,0.676936888,0.429665772,0.799711491,0.231112961,1,0.024886583,0.850851676,0.201000713,0.696742705,0.281719195,0.917586066,0.106086285,0.840421338,0,0.97284885,0.98197916,0.993188394,0.932665298,0.962362845,0.823233675,0.853276864,0.799297154,0.857543514,0.932273867,1,0.507632896,0.514591704,0.261937646,0.24508189,0.052910714,0
Dumbbell Flat Bench Press,nonstandard01,60,4,0.528886068,0.593142217,0.494067546,0.677398851,0.439493887,0.812191478,0.226852679,1,0.001929713,0.810626603,0.161982042,0.683847316,0.260571073,0.872911754,0.070821239,0.833575727,0,0.978177769,0.993955974,1,0.960907641,0.978039113,0.848651999,0.866197276,0.765518481,0.811573883,0.879592705,0.941223609,0.521076548,0.523637199,0.28019686,0.253117945,0.067100174,0
Dumbbell Flat Bench Press,nonstandard01,62,4,0.529894715,0.59480783,0.492959799,0.678808093,0.434891711,0.81317028,0.221626938,1,0,0.81006624,0.171099043,0.683992666,0.257073702,0.875505819,0.071068375,0.829323332,0.003922661,0.978122886,0.994083735,1,0.960105931,0.976556074,0.847450096,0.861600967,0.764245484,0.801749372,0.879756909,0.940658065,0.520870878,0.522032764,0.281212939,0.253700805,0.065283257,0
Dumbbell Flat Bench Press,nonstandard01,64,4,0.526773494,0.594235209,0.491445709,0.681399716,0.434377654,0.811521792,0.221280354,1,0,0.812849194,0.180214712,0.685503609,0.259821408,0.878305955,0.073403493,0.82867279,0.008353152,0.977669887,0.992762664,1,0.957330975,0.977135588,0.844138105,0.861272144,0.761253265,0.801022035,0.87436393,0.933183308,0.521370073,0.523452222,0.282367549,0.254730278,0.067319772,0
Dumbbell Flat Bench Press,nonstandard01,75,5,0.52203594,0.589396751,0.487079663,0.67937487,0.431787451,0.808581006,0.233648345,1,0.015426352,0.802899685,0.167248014,0.685080759,0.269429488,0.870961541,0.076909116,0.826814913,0,0.977363606,0.992515116,1,0.95480589,0.974358247,0.834208591,0.851008875,0.736584241,0.762756516,0.864285131,0.876891627,0.522622713,0.526908582,0.277942805,0.254347811,0.065435836,0
Dumbbell Flat Bench Press,nonstandard01,77,5,0.524145857,0.59161922,0.489642306,0.679547122,0.433316628,0.806552,0.236442833,1,0.022877702,0.802409882,0.165022835,0.685524046,0.272455958,0.8711399,0.076427066,0.828958918,0,0.976941539,0.992125087,1,0.955172524,0.975458831,0.835226751,0.850714908,0.735261314,0.757572442,0.862567398,0.876066178,0.524698554,0.5288311,0.279606596,0.257053503,0.063606911,0
Dumbbell Flat Bench Press,nonstandard01,79,5,0.522401925,0.589861373,0.489284312,0.677784416,0.434329794,0.805580448,0.235688256,1,0.023358748,0.80376086,0.1629432,0.6843257,0.271482128,0.868822957,0.07376128,0.828241954,0,0.97637993,0.991836464,1,0.956374161,0.977405444,0.837173726,0.852466165,0.735738689,0.756114215,0.861870554,0.874438216,0.523590105,0.527967367,0.278324684,0.257240295,0.061538271,0
Dumbbell Flat Bench Press,nonstandard02,0,0,0.46403847,0.530943682,0.4275034,0.615485941,0.369835713,0.762719211,0.19878332,1,0.021571232,0.839951327,0.121598735,0.67784796,0.271898284,0.843539072,0.061308378,0.791838967,0,0.980493774,0.991464843,1,0.944270292,0.964861983,0.825276096,0.831743662,0.754125947,0.750010511,0.868507073,0.859887139,0.514089896,0.517262199,0.26886615,0.251742515,0.055338776,0
Dumbbell Flat Bench Press,nonstandard02,2,0,0.462471974,0.528519587,0.422602274,0.61341222,0.362960099,0.762951173,0.211095209,1,0.04880108,0.845234582,0.133050382,0.691820204,0.291510426,0.888092936,0.098076717,0.819910176,0,0.979271778,0.990987732,1,0.941854772,0.963227045,0.817707532,0.82738157,0.739500986,0.74615476,0.861202198,0.869772909,0.512779647,0.517210111,0.264473395,0.253564978,0.045192641,0
Dumbbell Flat Bench Press,nonstandard02,4,0,0.463454587,0.529745052,0.423710642,0.614693892,0.364284821,0.763470688,0.211153175,1,0.044525374,0.847212035,0.126453208,0.691758298,0.29136823,0.887729413,0.096628191,0.820414608,0,0.979608219,0.990932814,1,0.940836562,0.962196716,0.816855086,0.825300345,0.739025778,0.741707046,0.860522177,0.866953153,0.514548907,0.51846583,0.265767149,0.254236038,0.045592761,0
Dumbbell Flat Bench Press,nonstandard02,15,1,0.460537754,0.525407826,0.417995323,0.612617157,0.359449785,0.763150164,0.222935143,1,0.069456078,0.869737244,0.130095659,0.696926546,0.302847004,0.890615751,0.105881259,0.830866516,0,0.980391884,0.993192363,1,0.943663743,0.959231006,0.81702444,0.8179922,0.727773479,0.718561154,0.856131159,0.859771596,0.518161202,0.519193831,0.269894089,0.253992906,0.049916702,0
Dumbbell Flat Bench Press,nonstandard02,17,1,0.461828632,0.526771038,0.41672371,0.613487504,0.353753756,0.763695858,0.218771156,1,0.069294323,0.87711885,0.126528118,0.702057855,0.303709254,0.897205747,0.105944155,0.841030656,0,0.979973642,0.993814906,1,0.945857174,0.960040404,0.818319711,0.81769882,0.726676601,0.712521006,0.859456292,0.855446884,0.515642493,0.515960332,0.267952581,0.252748403,0.047952969,0
Dumbbell Flat Bench Press,nonstandard02,19,1,0.465866402,0.533608705,0.419362003,0.612422493,0.340838149,0.752889483,0.190730734,1,0.061357207,0.892108091,0.126641561,0.696701316,0.284696815,0.888561788,0.070846972,0.854040795,0,0.978723188,0.991293032,1,0.935321073,0.956129658,0.803496347,0.805131272,0.73017513,0.710331093,0.861922192,0.856968347,0.499570729,0.501027103,0.259730076,0.25386375,0.031817484,0
Dumbbell Flat Bench Press,nonstandard02,30,2,0.486409122,0.556729585,0.44128598,0.642190291,0.368382257,0.767881194,0.223912895,1,0.073977033,0.946993683,0.095870064,0.710458302,0.307789348,0.909844364,0.094541534,0.892355085,0,0.975758833,0.990501021,1,0.940613588,0.963510046,0.809628324,0.816134917,0.728580228,0.708870268,0.877792009,0.851887305,0.504082147,0.507306199,0.262783771,0.260488797,0.029647659,0
Dumbbell Flat Bench Press,nonstandard02,32,2,0.484475483,0.554623206,0.438483647,0.64050847,0.365754764,0.766195117,0.224230218,1,0.070150493,0.959348661,0.088428901,0.709661681,0.308685163,0.904966182,0.094971677,0.890407373,0,0.976320323,0.990864548,1,0.93915254,0.961413419,0.806638989,0.815012771,0.726115524,0.714906184,0.878949275,0.865506209,0.505189975,0.508683616,0.260741084,0.257799137,0.030480683,0
Dumbbell Flat Bench Press,nonstandard02,34,2,0.477997009,0.544337503,0.436972698,0.63845166,0.381771134,0.776545312,0.228992307,1,0.06534434,0.977323651,0.07361833,0.679348835,0.273274188,0.853163572,0.053115896,0.886053869,0,0.981669949,0.996450349,1,0.94953129,0.957495394,0.828646027,0.818265628,0.749147353,0.711470901,0.877419679,0.869395361,0.517091828,0.514861245,0.261383201,0.247662252,0.039745597,0
Dumbbell Flat Bench Press,nonstandard02,45,3,0.446225957,0.50362006,0.409444925,0.579756168,0.360151437,0.677599565,0.24648689,0.886363513,0.060353753,1,0,0.637055464,0.321191959,0.819683277,0.166800393,0.782812114,0.042715531,0.979667915,0.990273779,1,0.935036854,0.95794855,0.807625018,0.816773061,0.759124412,0.738083008,0.911278348,0.878986337,0.499552708,0.501369067,0.249416275,0.245109314,0.033096432,0
Dumbbell Flat Bench Press,nonstandard02,47,3,0.451378391,0.506764799,0.417987119,0.580690086,0.3741718,0.675939664,0.267648317,0.88439075,0.085214978,1,0,0.629958008,0.332270186,0.802043174,0.185535531,0.767242457,0.067730827,0.980108424,0.989995899,1,0.934208408,0.957338305,0.809751995,0.816562739,0.769561354,0.748419465,0.907788391,0.88940018,0.502358356,0.504009899,0.248187266,0.243626971,0.03335454,0
Dumbbell Flat Bench Press,nonstandard02,49,3,0.463294729,0.513893837,0.433841513,0.578347912,0.393110306,0.667375489,0.291599043,0.876239211,0.124916804,1,0,0.614719688,0.343893968,0.753705354,0.192351204,0.744023636,0.112049678,0.982283412,0.990976472,1,0.937712237,0.958131201,0.819795694,0.8192465,0.79213575,0.760874796,0.918933431,0.904311998,0.508792429,0.509056651,0.251686415,0.2448622,0.039127209,0
Dumbbell Flat Bench Press,nonstandard02,60,4,0.49444582,0.535943274,0.471610506,0.583147456,0.436310896,0.639185088,0.338270721,0.807004894,0.159394291,1,0,0.598100403,0.383415781,0.722424846,0.246045874,0.71839216,0.155266942,0.985717166,0.987037174,1,0.927385768,0.956374477,0.828060118,0.828263337,0.860564422,0.808306365,0.961718345,0.91763959,0.513166233,0.510853281,0.254980956,0.243489277,0.046655055,0
Dumbbell Flat Bench Press,nonstandard02,62,4,0.510321548,0.550435971,0.489429901,0.592030429,0.451393296,0.638941535,0.346831877,0.805033203,0.163763604,1,0,0.597006686,0.388611155,0.722603682,0.256631286,0.713844007,0.161391039,0.983714618,0.985361868,1,0.929177209,0.962766049,0.832755258,0.837531621,0.87028213,0.823446708,0.969533345,0.928580156,0.515815801,0.514564256,0.258153335,0.246840688,0.04833322,0
Dumbbell Flat Bench Press,nonstandard02,64,4,0.515902582,0.556196528,0.496657814,0.597136523,0.460579628,0.64094829,0.354953146,0.805123263,0.167831035,1,0,0.59829467,0.395036938,0.721290692,0.264888346,0.70971878,0.172289378,0.985129496,0.98351491,1,0.922137757,0.960007983,0.82724044,0.837026774,0.875367832,0.834108432,0.972876492,0.925611675,0.514696525,0.515203604,0.260020541,0.248727733,0.052245963,0
Dumbbell Flat Bench Press,nonstandard02,75,5,0.558064562,0.601476282,0.54678593,0.636475411,0.508326618,0.651357336,0.382637213,0.806815196,0.188591759,1,0,0.588767943,0.397105438,0.719005754,0.273252602,0.701958616,0.179663107,0.975424895,0.974703593,1,0.919136801,0.979798522,0.827411829,0.859453957,0.875482987,0.861105004,0.972502027,0.940270764,0.507590585,0.517040853,0.257652685,0.25639756,0.051644146,0
Dumbbell Flat Bench Press,nonstandard02,77,5,0.555399117,0.598280417,0.54490129,0.632238702,0.506481047,0.646771359,0.377681866,0.806831099,0.181146721,1,0,0.582063737,0.390710308,0.715316828,0.271211279,0.694554859,0.17703432,0.975945187,0.974351684,1,0.918319077,0.979935277,0.829455203,0.861465955,0.882436897,0.866775831,0.971386157,0.940394942,0.513676901,0.522389285,0.266192053,0.26138272,0.056423204,0
Dumbbell Flat Bench Press,nonstandard02,79,5,0.554999403,0.598545066,0.545171243,0.63378014,0.508454794,0.647986462,0.377188241,0.80467834,0.177731116,1,0,0.582783935,0.390215894,0.71236618,0.266129363,0.696548779,0.177652525,0.977017601,0.973741534,1,0.913595902,0.976800224,0.824689773,0.859054365,0.879975347,0.867718742,0.971891633,0.941544787,0.515043876,0.524316882,0.261398864,0.256535685,0.057069937,0
Dumbbell Flat Bench Press,nonstandard03,0,0,0.297906084,0.357269591,0.249041227,0.490342142,0.220375159,0.734783539,0.168345328,1,0.06448457,0.80352118,0.105662418,0.727906771,0.308941951,0.929827501,0.1085311,0.914870496,0,0.976887303,1,0.992640748,0.96964803,0.94897179,0.850030771,0.802134423,0.755475737,0.670766169,0.865989753,0.809396477,0.523751118,0.509383102,0.279884021,0.248398785,0.055090369,0
Dumbbell Flat Bench Press,nonstandard03,2,0,0.343965975,0.401164805,0.293622253,0.523679352,0.260312884,0.756741931,0.180450297,1,0.045662919,0.834668718,0.113116738,0.718825678,0.29269424,0.890493441,0.076834943,0.924255515,0,0.976299216,1,0.990331619,0.968607694,0.942436851,0.849857851,0.795995855,0.770754282,0.680752653,0.837911156,0.796831036,0.519112855,0.501730566,0.28064116,0.246241256,0.049144987,0
Dumbbell Flat Bench Press,nonstandard03,4,0,0.374064012,0.43628247,0.324235064,0.549880958,0.280478957,0.760728532,0.179397244,1,0.039199442,0.850172179,0.09333386,0.720850101,0.291112496,0.895414096,0.068023157,0.922731397,0,0.979499333,1,0.994602203,0.961418426,0.94615192,0.840342049,0.797918082,0.760593545,0.685179629,0.83193486,0.800600078,0.516448308,0.502360021,0.279089635,0.247710759,0.051977101,0
Dumbbell Flat Bench Press,nonstandard03,15,1,0.474322047,0.541779052,0.431296524,0.640292176,0.377273698,0.794625098,0.209059882,1,0,0.886316879,0.062834707,0.704817748,0.277146181,0.893579727,0.077585739,0.905173362,0.012482671,0.981640077,0.996380898,1,0.949294786,0.958060797,0.819604782,0.824335496,0.718052961,0.735493053,0.834877383,0.869170485,0.50322718,0.503348234,0.262916277,0.241103103,0.053872972,0
Dumbbell Flat Bench Press,nonstandard03,17,1,0.491580555,0.562879231,0.443771016,0.658388599,0.379204015,0.798278949,0.218515929,1,0,0.877227192,0.052343384,0.724933818,0.304452557,0.931270331,0.120055342,0.891921585,0.024457699,0.980682904,0.993320521,1,0.941719215,0.957986627,0.806276121,0.824450083,0.693307476,0.746032195,0.823875362,0.894315075,0.505243166,0.508177527,0.264766118,0.243028751,0.06037401,0
Dumbbell Flat Bench Press,nonstandard03,19,1,0.506834872,0.580509442,0.462184074,0.67205207,0.395615037,0.796992924,0.228590714,1,0,0.877081928,0.034362832,0.724132298,0.311405612,0.932787661,0.12805804,0.890403942,0.030930285,0.980209659,0.990472762,1,0.936103678,0.959699079,0.801582048,0.830708641,0.693191427,0.77179729,0.824879831,0.919672765,0.505881455,0.512058665,0.267892587,0.245950562,0.066084994,0
Dumbbell Flat Bench Press,nonstandard03,30,2,0.600261276,0.676846175,0.567909956,0.742337514,0.481496533,0.7980239,0.284464708,1,0.081687866,0.885809012,0.048399653,0.69426903,0.309864392,0.911013743,0.110534676,0.888559603,0,0.964023748,0.969666738,0.987287442,0.913943759,0.959113509,0.785675199,0.846772643,0.672994235,0.832856472,0.801047365,1,0.50986317,0.526912262,0.270028588,0.252212842,0.074078707,0
Dumbbell Flat Bench Press,nonstandard03,32,2,0.626171863,0.704686624,0.596805113,0.761954542,0.499040251,0.798221418,0.285111315,1,0.088028521,0.887344034,0.047320346,0.693915464,0.309179326,0.915082029,0.107715158,0.885579214,0,0.957214401,0.96095351,0.981845701,0.903126344,0.956799781,0.775587048,0.845937945,0.663896802,0.837576302,0.791387902,1,0.502234111,0.522419242,0.26516843,0.250591281,0.074165768,0
